year_mon_day,hour,wind_dir_avg_10,wind_speed_h_avg,wind_speed_avg_10,air_pressure,humidity,full_datetime,capacity,volume,percentage,emission,emissionfactor,correct_days
20170910,11,211.32970821672788,66.0,68.33333333333333,10026.578947368422,73.6923076923077,2017-09-10-11,469821,469821,0.5454800128936768,0,0,2017-09-10-11
20170910,12,208.30748619718503,70.0,71.0,10022.842105263158,70.6923076923077,2017-09-10-12,593020,593020,0.6885150074958801,0,0,2017-09-10-12
20170910,13,208.32784704747604,72.33333333333333,74.33333333333333,10019.0,68.65384615384616,2017-09-10-13,732367,732367,0.8503069877624512,0,0,2017-09-10-13
20170910,14,202.67425466387212,73.33333333333333,74.0,10013.526315789471,67.57692307692308,2017-09-10-14,797114,797114,0.9254770278930664,0,0,2017-09-10-14
20170910,15,202.27046144229325,72.0,72.0,10007.78947368421,68.1923076923077,2017-09-10-15,844204,844204,0.9801520109176636,0,0,2017-09-10-15
20170910,16,197.30530593607648,70.33333333333333,68.33333333333333,10002.263157894737,69.8076923076923,2017-09-10-16,783810,783810,0.9100310206413268,0,0,2017-09-10-16
20170910,17,187.65794435290843,65.66666666666667,65.66666666666667,9994.105263157897,72.0,2017-09-10-17,848722,848722,0.98539799451828,0,0,2017-09-10-17
20170910,18,182.29671489960552,64.66666666666667,65.0,9984.105263157897,74.0,2017-09-10-18,861300,861300,1.0,0,0,2017-09-10-18
20170910,19,181.3303782334431,71.33333333333333,74.33333333333333,9976.842105263158,74.6923076923077,2017-09-10-19,861300,861300,1.0,0,0,2017-09-10-19
20170910,20,183.657080297868,78.66666666666667,80.0,9968.78947368421,75.57692307692308,2017-09-10-20,861300,861300,1.0,0,0,2017-09-10-20
20170910,21,186.32528851820388,83.33333333333333,86.33333333333333,9958.947368421052,76.38461538461539,2017-09-10-21,861300,861300,1.0,0,0,2017-09-10-21
20170910,22,189.98982023170944,88.33333333333333,90.0,9950.263157894737,79.38461538461539,2017-09-10-22,861300,861300,1.0,0,0,2017-09-10-22
20170910,23,192.31855631069547,90.0,90.0,9942.315789473683,82.46153846153847,2017-09-10-23,861300,861300,1.0,0,0,2017-09-10-23
20170910,24,200.3187103905742,87.0,86.33333333333333,9936.684210526317,85.88461538461539,2017-09-10-24,861248,861248,0.9999390244483948,0,0,2017-09-10-24
20170911,1,202.7132379804604,85.33333333333333,81.66666666666667,9932.894736842103,87.84615384615384,2017-09-11-01,861004,861004,0.9996569752693176,0,0,2017-09-11-01
20170911,2,205.6925041694145,78.66666666666667,75.33333333333333,9930.842105263158,89.23076923076923,2017-09-11-02,859383,859383,0.9977750182151794,0,0,2017-09-11-02
20170911,3,209.0290548968956,71.33333333333333,70.66666666666667,9929.315789473683,87.96153846153847,2017-09-11-03,859263,859263,0.9976360201835632,0,0,2017-09-11-03
20170911,4,209.00467558789424,68.0,65.66666666666667,9930.315789473683,87.34615384615384,2017-09-11-04,856981,856981,0.9949849843978882,0,0,2017-09-11-04
20170911,5,205.6635572693164,64.33333333333333,63.66666666666666,9931.315789473683,86.8076923076923,2017-09-11-05,847434,847434,0.983901023864746,0,0,2017-09-11-05
20170911,6,205.33145132599813,64.33333333333333,65.66666666666667,9934.315789473683,86.57692307692308,2017-09-11-06,826538,826538,0.9596409797668456,0,0,2017-09-11-06
20170911,7,207.6471262540365,70.66666666666667,74.33333333333333,9936.21052631579,82.8076923076923,2017-09-11-07,755583,755583,0.8772600293159485,0,0,2017-09-11-07
20170911,8,211.6619610093593,80.33333333333333,84.0,9938.526315789471,78.38461538461539,2017-09-11-08,816969,816969,0.9485309720039368,0,0,2017-09-11-08
20170911,9,213.9914283294286,87.0,89.66666666666667,9940.736842105263,73.61538461538461,2017-09-11-09,859830,859830,0.9982929825782776,0,0,2017-09-11-09
20170911,10,213.99959242061996,92.66666666666669,94.66666666666669,9940.947368421052,70.42307692307692,2017-09-11-10,861004,861004,0.9996579885482788,0,0,2017-09-11-10
20170911,11,214.99490755018908,96.66666666666669,99.0,9940.052631578948,67.34615384615384,2017-09-11-11,861272,861272,0.9999679923057556,0,0,2017-09-11-11
20170911,12,212.32236479706933,99.0,99.0,9940.684210526317,69.15384615384616,2017-09-11-12,861255,861255,0.999948024749756,0,0,2017-09-11-12
20170911,13,211.6619610093593,97.0,92.33333333333331,9942.894736842103,70.84615384615384,2017-09-11-13,861232,861232,0.9999210238456726,0,0,2017-09-11-13
20170911,14,208.33127554570845,96.33333333333331,95.0,9945.105263157897,75.3076923076923,2017-09-11-14,860609,860609,0.999197006225586,0,0,2017-09-11-14
20170911,15,210.6407887552425,91.66666666666669,88.66666666666667,9947.315789473683,77.07692307692308,2017-09-11-15,857866,857866,0.9960119724273682,0,0,2017-09-11-15
20170911,16,207.9682542723324,88.0,85.0,9949.263157894737,79.11538461538461,2017-09-11-16,856795,856795,0.9947699904441832,0,0,2017-09-11-16
20170911,17,207.03063920789415,83.33333333333333,81.0,9950.263157894737,81.42307692307692,2017-09-11-17,852089,852089,0.9893059730529784,0,0,2017-09-11-17
20170911,18,212.5992480159781,81.0,78.66666666666667,9953.684210526317,82.61538461538461,2017-09-11-18,849749,849749,0.9865900278091432,0,0,2017-09-11-18
20170911,19,213.5583349599552,77.0,77.0,9961.421052631578,84.0,2017-09-11-19,829679,829679,0.9632890224456788,0,0,2017-09-11-19
20170911,20,210.663226467336,73.0,70.66666666666667,9966.157894736842,86.38461538461539,2017-09-11-20,825678,825678,0.958640992641449,0,0,2017-09-11-20
20170911,21,207.0011977934852,70.66666666666667,68.66666666666667,9969.263157894737,87.5,2017-09-11-21,847353,847353,0.983806014060974,0,0,2017-09-11-21
20170911,22,213.99980974368896,65.33333333333333,63.333333333333336,9973.947368421052,89.38461538461539,2017-09-11-22,842162,842162,0.9777820110321044,0,0,2017-09-11-22
20170911,23,218.13464467287668,62.66666666666666,62.0,9977.315789473683,90.0,2017-09-11-23,822615,822615,0.9550840258598328,0,0,2017-09-11-23
20170911,24,227.09369413131904,61.0,60.0,9980.947368421052,89.53846153846153,2017-09-11-24,779292,779292,0.9047859907150269,0,0,2017-09-11-24
20170912,1,228.90751583262823,58.0,56.333333333333336,9985.736842105263,90.73076923076924,2017-09-12-01,779421,779421,0.9049370288848876,0,0,2017-09-12-01
20170912,2,230.50918794318991,54.333333333333336,54.66666666666666,9989.421052631578,91.3076923076923,2017-09-12-02,599299,599299,0.695809006690979,0,0,2017-09-12-02
20170912,3,231.1544984110292,53.333333333333336,53.333333333333336,9994.421052631578,91.23076923076924,2017-09-12-03,550717,550717,0.6394039988517761,0,0,2017-09-12-03
20170912,4,231.63847553379597,53.66666666666666,54.333333333333336,9999.894736842103,91.0,2017-09-12-04,473501,473501,0.5497530102729797,0,0,2017-09-12-04
20170912,5,232.7390066208252,52.66666666666666,52.333333333333336,10006.894736842103,90.65384615384616,2017-09-12-05,450550,450550,0.5231080055236816,0,0,2017-09-12-05
20170912,6,230.75359478976915,51.66666666666666,54.66666666666666,10015.21052631579,89.84615384615384,2017-09-12-06,585182,585182,0.6794149875640869,0,0,2017-09-12-06
20170912,7,233.0619945958936,56.333333333333336,58.66666666666666,10022.052631578948,87.46153846153847,2017-09-12-07,637024,637024,0.7396079897880554,0,0,2017-09-12-07
20170912,8,236.8833244726744,60.66666666666666,63.0,10030.263157894737,83.8076923076923,2017-09-12-08,645527,645527,0.7494800090789795,0,0,2017-09-12-08
20170912,9,239.2005704397361,69.66666666666667,71.66666666666667,10037.736842105263,78.34615384615384,2017-09-12-09,714717,714717,0.8298130035400391,0,0,2017-09-12-09
20170912,10,245.7091282350314,72.0,73.66666666666667,10043.263157894737,73.76923076923077,2017-09-12-10,664245,664245,0.7712140083312988,0,0,2017-09-12-10
20170912,11,253.86024199265356,73.33333333333333,74.0,10049.736842105263,71.73076923076923,2017-09-12-11,693625,693625,0.8053240180015564,0,0,2017-09-12-11
20170912,12,254.9699160999432,78.33333333333333,79.66666666666667,10055.0,68.73076923076923,2017-09-12-12,713715,713715,0.8286499977111816,0,0,2017-09-12-12
20170912,13,249.7821248259398,78.33333333333333,77.66666666666667,10058.78947368421,67.92307692307692,2017-09-12-13,737158,737158,0.8558670282363892,0,0,2017-09-12-13
20170912,14,255.60685124718296,78.66666666666667,80.0,10063.368421052632,66.3076923076923,2017-09-12-14,676166,676166,0.785053014755249,0,0,2017-09-12-14
20170912,15,257.3087920132871,73.66666666666667,70.33333333333333,10068.052631578948,66.92307692307692,2017-09-12-15,709713,709713,0.8240020275115967,0,0,2017-09-12-15
20170912,16,259.3658992670349,68.0,64.0,10071.105263157897,67.3076923076923,2017-09-12-16,737687,737687,0.8564800024032593,0,0,2017-09-12-16
20170912,17,246.97466035623927,57.0,53.66666666666666,10070.105263157897,69.23076923076923,2017-09-12-17,646760,646760,0.7509109973907471,0,0,2017-09-12-17
20170912,18,224.67407561921652,47.0,43.0,10069.0,77.76923076923077,2017-09-12-18,476704,476704,0.5534700155258179,0,0,2017-09-12-18
20170912,19,211.5456459380547,41.66666666666666,43.66666666666666,10070.263157894737,80.73076923076923,2017-09-12-19,501471,501471,0.5822269916534424,0,0,2017-09-12-19
20170912,20,201.63125036995493,45.66666666666666,49.333333333333336,10069.105263157897,81.84615384615384,2017-09-12-20,505375,505375,0.5867589712142944,0,0,2017-09-12-20
20170912,21,194.0138218920709,49.66666666666666,52.333333333333336,10062.578947368422,81.6923076923077,2017-09-12-21,699066,699066,0.8116430044174194,0,0,2017-09-12-21
20170912,22,188.02321873411964,55.0,60.333333333333336,10050.842105263158,80.38461538461539,2017-09-12-22,636346,636346,0.7388190031051636,0,0,2017-09-12-22
20170912,23,185.0152773491109,64.0,67.66666666666667,10034.157894736842,80.42307692307692,2017-09-12-23,768735,768735,0.8925290107727051,0,0,2017-09-12-23
20170912,24,182.66542018014863,70.66666666666667,73.66666666666667,10013.421052631578,80.8076923076923,2017-09-12-24,843882,843882,0.9797750115394592,0,0,2017-09-12-24
