,year_mon_day,hour,wind_dir_avg_10,wind_speed_h_avg,wind_speed_avg_10,air_pressure,humidity,full_datetime,capacity,volume,percentage,emission,emissionfactor,correct_days,date,month,week_number,max_capacity,log_volume,ratio_VC,prijs_excl_belastingen
2017-01-02 17:00:00,20170102,17,283.18754933272226,32.333333333333336,33.666666666666664,10250.78947368421,87.6923076923077,2017-01-02-18,762558,762558,0.885358989238739,0,0,2017-01-02-18,2017-01-02,2017-01,1,861298.0827761998,13.544435161519434,0.885358989238739,0.0626
2017-01-02 18:00:00,20170102,18,276.68493211878285,31.666666666666668,30.33333333333333,10253.78947368421,89.61538461538461,2017-01-02-19,727890,727890,0.8451079726219177,0,0,2017-01-02-19,2017-01-02,2017-01,1,861298.2288425785,13.49790659069415,0.8451079726219177,0.056
2017-01-02 19:00:00,20170102,19,270.7686295384086,31.0,31.0,10253.842105263158,90.84615384615384,2017-01-02-20,707001,707001,0.820855975151062,0,0,2017-01-02-20,2017-01-02,2017-01,1,861297.2572562327,13.468788773729022,0.820855975151062,0.0501
2017-01-02 20:00:00,20170102,20,267.2348828333765,32.0,33.333333333333336,10254.947368421052,92.3076923076923,2017-01-02-21,731496,731496,0.8492940068244934,0,0,2017-01-02-21,2017-01-02,2017-01,1,861298.9072359763,13.50284839827191,0.8492940068244934,0.0411
2017-01-02 21:00:00,20170102,21,265.48336350765067,33.333333333333336,34.0,10255.105263157897,92.42307692307692,2017-01-02-22,729273,729273,0.8467090129852295,0,0,2017-01-02-22,2017-01-02,2017-01,1,861302.9846331893,13.49980479771294,0.8467090129852295,0.0442
2017-01-02 22:00:00,20170102,22,254.13358830029057,32.666666666666664,32.333333333333336,10256.052631578948,92.6923076923077,2017-01-02-23,751534,751534,0.8725619912147522,0,0,2017-01-02-23,2017-01-02,2017-01,1,861295.8249003477,13.529873060610281,0.8725619912147522,0.0432
2017-01-02 23:00:00,20170102,23,253.15579944613395,35.0,35.0,10255.21052631579,92.8076923076923,2017-01-02-24,765735,765735,0.8890470266342163,0,0,2017-01-02-24,2017-01-02,2017-01,1,861298.6456958806,13.54859274179854,0.8890470266342163,0.0381
2017-01-03 00:00:00,20170103,0,253.270588162947,36.66666666666666,37.333333333333336,10252.947368421052,93.15384615384616,2017-01-03-01,739272,739272,0.8583199977874756,0,0,2017-01-03-01,2017-01-03,2017-01,1,861301.1486457846,13.513422549844872,0.8583199977874756,0.036
2017-01-03 01:00:00,20170103,1,253.8933366699365,37.0,40.0,10255.263157894737,92.03846153846152,2017-01-03-02,793674,793674,0.9214820265769958,0,0,2017-01-03-02,2017-01-03,2017-01,1,861301.6609214172,13.584429336535772,0.9214820265769958,0.0313
2017-01-03 02:00:00,20170103,2,254.12217515780657,40.66666666666666,40.66666666666666,10253.368421052632,91.6923076923077,2017-01-03-03,751018,751018,0.8719580173492432,0,0,2017-01-03-03,2017-01-03,2017-01,1,861300.6418394989,13.529186230026776,0.8719580173492432,0.03
